2010-11-25 15:04:35 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:04:35 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:37:40 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:02 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:03 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:04 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:04 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:04 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:05 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 15:38:30 Notice: Notice (8): Undefined variable: ajax in [/home/shishir/public_html/answers/app/views/questions/add.ctp, line 13]
2010-11-25 17:36:22 Notice: Notice (8): Trying to get property of non-object in [/home/shishir/public_html/answers/app/vendors/Auth/OpenID/google_discovery.php, line 174]
2010-11-25 17:39:26 Notice: Notice (8): Trying to get property of non-object in [/home/shishir/public_html/answers/app/vendors/Auth/OpenID/google_discovery.php, line 174]
2010-11-26 16:01:10 Notice: Notice (8): Undefined variable: tags in [/home/shishir/public_html/answers/app/controllers/tags_controller.php, line 8]
2010-11-26 16:01:11 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:07:30 Notice: Notice (8): Undefined variable: tags in [/home/shishir/public_html/answers/app/controllers/tags_controller.php, line 8]
2010-11-26 16:07:30 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:08:20 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:08:28 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:09:50 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:09:52 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:09:54 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:10:07 Notice: Notice (8): Undefined variable: tags in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 5]
2010-11-26 16:11:04 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:11:08 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 6]
2010-11-26 16:11:40 Notice: Notice (8): Undefined index:  count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 7]
2010-11-26 16:51:11 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 5]
2010-11-26 16:51:11 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 16:51:19 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 5]
2010-11-26 16:51:19 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
